127.0.0.1 - - [28/Dec/2017:09:37:44 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:37:45 +0100] "GET /AdminPanel/ HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:37:59 +0100] "GET /AdminPanel/login.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:38:00 +0100] "GET /AdminPanel/style.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:38:00 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:38:00 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:38:07 +0100] "POST /AdminPanel/Login HTTP/1.1" 500 1497
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:39:15 +0100] "POST /AdminPanel/Login HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:39:21 +0100] "POST /AdminPanel/Login HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:40:21 +0100] "POST /AdminPanel/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:40:21 +0100] "GET /AdminPanel/panel.jsp HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:41:07 +0100] "GET /AdminPanel/panel.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:41:07 +0100] "GET /AdminPanel/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:42:26 +0100] "POST /AdminPanel/Exec HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:09:42:26 +0100] "GET /AdminPanel/sucess.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:19:42 +0100] "GET /AdminPanel/ HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:20:28 +0100] "POST /AdminPanel/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:20:28 +0100] "GET /AdminPanel/panel.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:20:37 +0100] "GET /AdminPanel/config.jsp HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:25:21 +0100] "GET /AdminPanel/pane%C3%B6.jsp HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:25:26 +0100] "GET /AdminPanel/panel.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:25:30 +0100] "GET /AdminPanel/config.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:26:49 +0100] "GET /AdminPanel/config.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:26:49 +0100] "GET /AdminPanel/style.css HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:26:55 +0100] "GET /AdminPanel/config.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:26:56 +0100] "GET /AdminPanel/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:27:01 +0100] "GET /AdminPanel/config.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:27:01 +0100] "GET /AdminPanel/style.css HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:27:36 +0100] "GET /AdminPanel/config.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:27:36 +0100] "GET /AdminPanel/style.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:27:48 +0100] "GET /AdminPanel/panel.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [28/Dec/2017:10:27:49 +0100] "GET /AdminPanel/style.css HTTP/1.1" 200 419
